model,lead_group,stratum_type,stratum,n,coverage68,wilson68_lo,wilson68_hi,coverage90,wilson90_lo,wilson90_hi,truth
ecmwf_ifs025,1-3,city_group,Coquimbo coast,126,0.7619047619047619,0.6804874332978341,0.8278247850694802,0.8809523809523809,0.8128498820301632,0.9265133446859303,grid
ecmwf_ifs025,1-3,city_group,Coquimbo interior,441,0.764172335600907,0.7223759243115784,0.8014061903005738,0.9138321995464853,0.8839381706794658,0.9365788758159661,grid
ecmwf_ifs025,4-7,all,all cases,1764,0.6785714285714286,0.6564095385649064,0.6999572593937008,0.9007936507936508,0.8859604918788792,0.9138849879837724,grid
ecmwf_ifs025,4-7,forecast_bin,f = 0,720,0.9930555555555556,0.9838475682519386,0.9970302072450768,1.0,0.9946929554335932,1.0,grid
ecmwf_ifs025,4-7,forecast_bin,0 < f < 10,413,0.7191283292978208,0.6739177474199957,0.7603000976229645,0.9515738498789347,0.926388879153233,0.9684357407419281,grid
ecmwf_ifs025,4-7,forecast_bin,f >= 10,631,0.2931854199683043,0.2590036617579097,0.32987006986647316,0.7543581616481775,0.7192982785809191,0.7863397756281733,grid
ecmwf_ifs025,4-7,city_group,Centre-south,924,0.5963203463203464,0.5643494141346201,0.6274937055020209,0.8961038961038961,0.8747624175343031,0.914165467713007,grid
ecmwf_ifs025,4-7,city_group,Coquimbo coast,168,0.7678571428571429,0.6984608380862818,0.8252777322558722,0.8988095238095238,0.843930583049617,0.935857955015368,grid
ecmwf_ifs025,4-7,city_group,Coquimbo interior,588,0.7721088435374149,0.7365018644062944,0.8041834748818095,0.9030612244897959,0.8764648825720164,0.9244252762484876,grid
gfs_seamless,all,all,all cases,3087,0.685131195335277,0.6685252380272881,0.7012769712434841,0.9002267573696145,0.8891520667972614,0.9103066025886337,grid
gfs_seamless,all,forecast_bin,f = 0,1576,0.9828680203045685,0.975188360673729,0.9881994472888154,1.0,0.9975684529231078,1.0,grid
