metric,model,lead_days,truth_a,truth_b,n,n_cities,n_dates,value_grid,value_gauge,difference,bootstrap_se,sigma,verdict,sign_flip,value_era5
pod,best_match,2,grid,era5,441,21,21,0.9072847682119205,,-0.01271523178807954,0.008650901504194834,1.4698158084349828,robust,False,0.92
far,best_match,2,grid,era5,441,21,21,0.08053691275167785,,0.006711409395973145,0.03735805640585022,0.17965092517292058,robust,False,0.0738255033557047
mae_mm,best_match,3,grid,era5,441,21,21,5.644897959183674,,-0.04126984126984112,0.29638419187978593,0.13924440776713307,robust,False,5.686167800453515
bias_mm,best_match,3,grid,era5,441,21,21,-0.8480725623582768,,0.23900226757369625,0.7750600284880772,0.3083661378331199,robust,False,-1.087074829931973
pod,best_match,3,grid,era5,441,21,21,0.9072847682119205,,0.020618101545253786,0.013926458566378822,1.4804985378716375,robust,False,0.8866666666666667
far,best_match,3,grid,era5,441,21,21,0.10457516339869281,,-0.026143790849673207,0.03231547837682218,0.8090176027975644,robust,False,0.13071895424836602
mae_mm,best_match,4,grid,era5,441,21,21,7.0895691609977325,,-0.0036281179138333286,0.3677152588320837,0.009866650422277145,robust,False,7.093197278911566
bias_mm,best_match,4,grid,era5,441,21,21,-1.2333333333333334,,0.23900226757369603,0.7741780206370209,0.3087174541290084,robust,False,-1.4723356009070294
pod,best_match,4,grid,era5,441,21,21,0.8609271523178808,,0.02092715231788078,0.007348412114299535,2.8478468534934094,shifted,False,0.84
far,best_match,4,grid,era5,441,21,21,0.1503267973856209,,-0.02614379084967322,0.03001809447656147,0.8709343915912665,robust,False,0.17647058823529413
mae_mm,best_match,5,grid,era5,441,21,21,7.100453514739228,,-0.09795918367346967,0.34088343749860667,0.28736856326107096,robust,False,7.198412698412698
bias_mm,best_match,5,grid,era5,441,21,21,-1.6823129251700677,,0.23900226757369647,0.7709578395209632,0.31000692297545246,robust,False,-1.9213151927437642
pod,best_match,5,grid,era5,441,21,21,0.8013245033112583,,0.027991169977924946,0.011300647461819585,2.476952765095631,shifted,False,0.7733333333333333
far,best_match,5,grid,era5,441,21,21,0.16551724137931034,,-0.03448275862068967,0.03560426051670758,0.9685009074829223,robust,False,0.2
mae_mm,best_match,6,grid,era5,441,21,21,9.86077097505669,,0.12335600907029587,0.47225382092740137,0.2612070111535617,robust,False,9.737414965986394
bias_mm,best_match,6,grid,era5,441,21,21,-1.1764172335600906,,0.23900226757369603,0.7670344575062177,0.3115926086954948,robust,False,-1.4154195011337867
pod,best_match,6,grid,era5,441,21,21,0.7814569536423841,,0.008123620309050783,0.010833581166290056,0.7498554895520947,robust,False,0.7733333333333333
far,best_match,6,grid,era5,441,21,21,0.2976190476190476,,-0.011904761904761918,0.02986887527243403,0.39856746516829233,robust,False,0.30952380952380953
mae_mm,best_match,7,grid,era5,441,21,21,10.621541950113379,,0.0,0.4763986968785301,0.0,robust,False,10.621541950113379
bias_mm,best_match,7,grid,era5,441,21,21,-1.6360544217687074,,0.2390022675736958,0.7819528892896951,0.30564791159068294,robust,False,-1.8750566893424032
pod,best_match,7,grid,era5,441,21,21,0.7615894039735099,,0.008256070640176638,0.012904841643562839,0.639765358476515,robust,False,0.7533333333333333
far,best_match,7,grid,era5,441,21,21,0.294478527607362,,-0.012269938650306733,0.02958318323765704,0.41476059394068443,robust,False,0.3067484662576687
mae_mm,ecmwf_ifs025,1,grid,era5,441,21,21,3.6276643990929704,,-0.034013605442177575,0.3581606882185014,0.09496744495148797,robust,False,3.661678004535148
